index,CompanyID,CompanyName,CompanyFormerName,CompanyAlsoKnownAs,CompanyLegalName,Description,Keywords,TotalRaised,BusinessStatus,OwnershipStatus,CompanyFinancingStatus,Universe,Website,Employees,Exchange,Ticker,CikCode,YearFounded,ParentCompany,FinancingStatusNote,HQLocation,HQAddressLine1,HQAddressLine2,HQCity,HQState_Province,HQPostCode,HQCountry,HQPhone,HQFax,HQEmail,HQGlobalRegion,HQGlobalSubRegion,AlternateOfficeCount,PrimaryContactPBId,PrimaryContact,PrimaryContactTitle,ActiveInvestors,FormerInvestors,FirstFinancingDate,FirstFinancingSize,FirstFinancingSizeStatus,FirstFinancingValuation,FirstFinancingValuationStatus,FirstFinancingDealType,FirstFinancingDealType2,FirstFinancingDealType3,FirstFinancingDealClass,FirstFinancingDebt,FirstFinancingStatus,LastKnownValuation,LastKnownValuationDate,LastKnownValuationDealType,LastFinancingDate,LastFinancingSize,LastFinancingSizeStatus,LastFinancingValuation,LastFinancingValuationStatus,LastFinancingDealType,LastFinancingDealType2,LastFinancingDealType3,LastFinancingDealClass,LastFinancingDebt,LastFinancingDebtDate,LastFinancingDebtSize,LastFinancingStatus,FacebookProfileUrl,TwitterProfileUrl,LinkedInProfileURL,GrowthRate,GrowthRatePercentile,GrowthRateChange,GrowthRatePercentChange,WebGrowthRate,WebGrowthRatePercentile,SocialGrowthRate,SocialGrowthRatePercentile,TwitterGrowthRate,TwitterGrowthRatePercentile,SizeMultiple,SizeMultiplePercentile,SizeMultipleChange,SizeMultiplePercentChange,WebSizeMultiple,WebSizeMultiplePercentile,SocialSizeMultiple,SocialSizeMultiplePercentile,TwitterSizeMultiple,TwitterSizeMultiplePercentile,TwitterFollowers,TwitterFollowersChange,TwitterFollowersPercentChange,ProfileDataSource,PitchBookProfileLink,LastUpdated,second_level_categories,gpt_reasoning
3247,100904-32,Beats Medical,,,Beats Medical Limited,"Operator of a digital therapeutics platform intended to treat CNS and rare genetic conditions. The company's platform creates a customizable interface, using advanced AI and machine learning to tailor therapies for each and every patient, based on their specific needs, enabling clinicians to understand, engage and treat their patients quickly and effectively.","digital therapeutics, medical treatment, medication compliance, neurological healthcare service, parkinson therapy, parkinson's disease treatment, parkinson's treatment",2.39367212,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Venture Capital,www.beatsmedical.com,15,,,,2012,,"The company raised EUR 940,015 of venture funding from Better World Ventures, Cathriona Hallahan and Anthony Collins on July 4, 2021, putting the company's pre-money valuation at EUR 13.36 million.","Dublin, Ireland","4 Cubes 1, Beacon South Quarter",Sandyford,Dublin,,18,Ireland,+353 (0)1 905 3830,,office@beatsmedical.com,Europe,Western Europe,1,105077-08P,Ciara Clancy Ph.D,Co-Founder & Chief Executive Officer,11,,05/02/2014,0.69066179,Actual,,,Seed Round,Seed Round,,Venture Capital,,Completed,17.15854052,07/04/2021,Later Stage VC,07/04/2021,1.12801033,Actual,17.15854052,Actual,Later Stage VC,,,Venture Capital,,,,Completed,https://www.facebook.com/BeatsMedicalGroup,https://twitter.com/BeatsMedical,https://www.linkedin.com/company/beats-medical-ltd,-0.01,15,0,0,0,13,-0.03,14,-0.03,14,3.98,80,0,0,2.89,74,8.42,83,8.42,83,2222,0,0,PitchBook Research,https://my.pitchbook.com?c=100904-32,01/01/2024,['Neurological disorders'],"The company focuses on digital therapeutics for CNS and rare genetic conditions, specifically mentioning Parkinson's disease, which falls under neurological disorders."
4344,101504-35,Embr Labs,,"Embr, Ember wave","Embr Labs, Inc.","Developer of wearable thermostats designed to change skin temperature according to comfort. The company's thermostats utilize patented technology that harnesses the power of thermal sensations to deliver safe, non-invasive, and natural services that leverage the nervous system's natural response to temperature, enabling people to feel comfortable and fall asleep fast with no stress.","digital therapeutics, digital wellness, personal heating product, personal thermostats, thermal wellness, wearable device, wearable technology, women's health",54.094048,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Debt Financed, Venture Capital",embrlabs.com,27,,,1630506,2013,,"The company raised $35 million of venture funding n the form of convertible debt in a deal led by Ghost Tree Partners on May 8, 2023. Other undisclosed investors also participated in the round. The funds will be used to fuel the company's consumer growth strategy via retail and geographic expansion, improving even more lives with the power of temperature.","Boston, MA",24 Roland Street,Suite 102,Boston,Massachusetts,2129,United States,+1 (833) 879-3627,,hello@embrlabs.com,Americas,North America,,104856-76P,Samuel Shames,Co-Founder & Chief Operating Officer,23,,,,,,,Accelerator/Incubator,,,Other,,Completed,69.374048,04/01/2022,Later Stage VC,05/08/2023,35,Actual,,,Later Stage VC,,,Venture Capital,"Bridge Loan - $35,00M (Convertible)",05/08/2023,35,Completed,https://www.facebook.com/embrlabs,https://twitter.com/Embrlabs,https://www.linkedin.com/company/embr-labs,0.65,96,0,0,1.57,98,1.04,99,1.04,99,32.97,97,0,0,25.21,96,11.22,86,11.22,86,2962,0,0,PitchBook Research,https://my.pitchbook.com?c=101504-35,01/01/2024,['Sense organ diseases'],"The company's wearable thermostats are designed to change skin temperature for comfort, which relates to sensory perception and comfort, but does not directly address a specific disease category. However, the focus on thermal sensations and comfort could be loosely related to sense organ functions."
5108,101848-51,Kali (Enterprise Systems (Healthcare)),Rxense,Kali,"Kali Care, Inc.","Operator of a digital monitoring and intervention platform intended for clinical trials and patient care. The company leverages its clinically proven connected technology to provide digital monitoring and interventions across clinical trials and clinical care, enabling healthcare providers to measure, monitor and improve patient engagement through connectivity, data analytics and personalized communications.","digital monitoring, digital monitoring services, medical technology, medication regimen, personalized medicine, real time medication management",5,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Venture Capital,www.kali.care,3,,,1616065,2014,,"The company raised $5 million of Series A venture funding from AptarGroup, Signature Capital and Signatures Capital on June 19, 2017, putting the company's pre-money valuation at $20 million. Heuristic Capital Partners, Plug and Play Tech Center and Lab360 Hardware Incubator also participated in the round.","San Francisco, CA",259 East Grand Avenue South,,San Francisco,California,94080,United States,+1 (408) 857-2228,,info@kali.care,Americas,North America,2,263465-74P,Jerry Wong,Executive Officer,6,,06/19/2017,5,Actual,24.999999,Actual,Early Stage VC,Series A,,Venture Capital,,Completed,24.999999,06/19/2017,Early Stage VC,06/19/2017,5,Actual,24.999999,Actual,Early Stage VC,Series A,,Venture Capital,,,,Completed,,,https://www.linkedin.com/company/kali-care,,,,,,,,,,,,,,,,,,,,,,,,PitchBook Research,https://my.pitchbook.com?c=101848-51,10/01/2023,['Other non-communicable diseases'],"The company provides digital monitoring and intervention for clinical trials and patient care, which is a broad application that does not specify a particular disease category."
8125,103233-34,Wellpepper,,,"Wellpepper, Inc.",Developer of a patient engagement platform intended for digital patient treatment plans. The company's application enables healthcare professionals to create and assign custom treatment plans that patients review and check in with on their mobile phones.,"digital patient treatment, digital treatment, digital treatment planning, digital treatment services, healthcare information technology, mobile health",1.15,Generating Revenue,Acquired/Merged,Formerly PE-Backed,"Private Equity, Venture Capital",www.wellpepper.com,6,,,1602559,2012,,"The company was acquired by Caravan Health, via its financial sponsors VSS Capital Partners and 121G, through an LBO on February 27, 2020 for an undisclosed amount. The company is no longer actively tracked by PitchBook.","Seattle, WA",3502 Fremont Avenue North,,Seattle,Washington,98103,United States,,,,Americas,North America,,,,,,2,01/01/2015,,,,,Accelerator/Incubator,,,Other,,Completed,,,,02/27/2020,,,,,Buyout/LBO,Add-on,,Private Equity,,05/03/2016,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,PitchBook Research,https://my.pitchbook.com?c=103233-34,06/01/2023,['Other non-communicable diseases'],"The company offers a digital patient engagement platform for treatment plans, which is a general healthcare service not specific to any particular disease category."
9441,103904-02,AppliedVR,,AVR,"AppliedVR, Inc.","Developer of virtual reality therapeutic devices designed to address unmet needs and improve clinical outcomes for pain management. The company's devices are clinically validated, on-demand, and all-in-one platforms for acute and chronic pain, enabling doctors to improve clinical outcomes for patients with serious health conditions.","chronic pain devices, cognitive behavioral platform, digital therapeutics, pain management system, virtual reality system, virtual reality therapeutics",76.914352,Clinical Trials - Phase 4,Privately Held (backing),Venture Capital-Backed,"Debt Financed, Venture Capital",www.appliedvr.io,74,,,,2015,,"The company received $6 million of debt financing in the form of a loan from F-Prime Capital on February 23, 2023. Previously, the company joined Techstars on August 9, 2022 and received $13,333 in funding.","Van Nuys, CA",16760 Stagg Street,Unit 216,Van Nuys,California,91406,United States,+1 (844) 857-0010,,info@appliedvr.io,Americas,North America,,105555-16P,David Sackman,"Co-Founder, Chief Visionary Officer & Chairman",14,,04/04/2016,6,Actual,,,Seed Round,Seed Round,,Venture Capital,,Completed,120.999995,11/11/2021,Later Stage VC,02/23/2023,6,Actual,,,Debt - General,,,Debt,"Unspecified Term Loan - $6,00M",02/23/2023,6,Completed,https://www.facebook.com/appliedvr,https://twitter.com/AppliedVR,https://www.linkedin.com/company/appliedvr,0.85,97,-0.1,-10.47,2.56,99,-0.02,17,-0.02,17,8.62,89,-0.03,-0.32,9.01,89,13.78,88,13.78,88,3636,2,0.06,PitchBook Research,https://my.pitchbook.com?c=103904-02,01/01/2024,['Musculoskeletal disorders'],"The company develops virtual reality therapeutic devices for pain management, which is often associated with musculoskeletal disorders, especially chronic pain conditions."
13678,106829-83,Caterna,,,Caterna Vision GmbH,"Operator of an online digital therapy platform designed to provide a supplement to occlusion therapy for children with amblyopia or lazy eye. The company's platform offers web-based exercises for the treatment of neurological defect vision which are combined with online games for attention-grabbing in the screen foreground, enabling patients to stimulate the brain to re-establish the connection between the brain and eye.","amblyopia therapy, digital therapy platform, eyecare platform, healthcare platform, visual acuity, visual support",0.85493131,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Venture Capital,www.caterna.de,9,,,,2010,,CFH Management sold a stake in the company to an undisclosed buyer.,"Potsdam, Germany",David-Gilly-Strasse 1,,Potsdam,,14469,Germany,+49 (0)33 1867 5087 7,+49 (0)33 1867 5089 9,kontakt@caterna.de,Europe,Western Europe,1,89561-62P,Sascha Seewald,"Co-Founder, Board Member & Advisor",5,3,01/01/2010,,,,,Spin-Off,,,Corporate,,Completed,,,,,,,,,Secondary Transaction - Private,,,Venture Capital,,,,Completed,https://www.facebook.com/Caterna.Vision,https://twitter.com/caternavision,https://www.linkedin.com/company/caterna,-0.04,14,0,0,0,13,-0.11,3,-0.11,3,1.88,67,-0.03,-1.45,4.42,81,0.86,48,0.86,48,226,0,0,PitchBook Research,https://my.pitchbook.com?c=106829-83,01/01/2024,['Sense organ diseases'],"The company provides a digital therapy platform for amblyopia, a vision disorder, which falls under sense organ diseases."
24158,110303-29,Pear Therapeutics,,Pear,"Pear Therapeutics, Inc.","Pear Therapeutics Inc is a commercial-stage healthcare company pioneering a new class of software-based medicines, sometimes referred to as Prescription Digital Therapeutics (PDTs), which use software to treat diseases directly. The company's vision is to advance healthcare through the widespread use of PDTs and to be the one-stop shop for PDTs offered by Pear and other organizations that may choose to make their products available to patients, providers, and payors via its commercial platform, known as PearConnect. It features four distinct system components, consisting of PDTs for patient use, the PearMD Clinician Dashboard, an end-to-end patient service center, and a data analytics system configured to aggregate patient engagement, adherence, and clinical outcome data.","biotechnology research, digital healthcare agency, digital healthcare company, digital therapeutics company, digital therapeutics platform, pharmaceuticals and medicine, pharmaceuticals products, pharmacy healthcare, software based medicine developer, software based therapeutics",395.999923,Bankruptcy: Admin/Reorg,Privately Held (backing),Formerly VC-backed,"Debt Financed, Private Equity, Publicly Listed, Venture Capital",www.peartherapeutics.com,218,,,1835567,2013,,"The company filed for Chapter 11 bankruptcy on April 7, 2023. The company intends to continue scaled-down operations during the Chapter 11 as it seeks to execute an expedited sale process.","Boston, MA",200 State Street,,Boston,Massachusetts,2109,United States,,,,Americas,North America,1,352314-01P,Ellen Snow,"Chief Accounting Officer, Accounting & Vice President",1,28,03/19/2015,5,Actual,12.952958,Actual,Seed Round,Seed Round,,Venture Capital,,Completed,1600,12/03/2021,PIPE,04/07/2023,,,,,Bankruptcy: Admin/Reorg,,,Bankruptcy,,07/07/2020,,Completed,,,,5.64,100,0,0,,,,,,,9.08,89,0,0,,,,,,,,,,PitchBook Research,https://my.pitchbook.com?c=110303-29,11/01/2023,['Other non-communicable diseases'],"Pear Therapeutics focuses on software-based medicines for various diseases, but the description does not specify a particular disease category, making it a broad application."
29129,111779-92,Sword,EndeavourLab,,"SWORD Health, Inc.","Developer of an artificial intelligence-powered digital therapeutic system designed to aid with musculoskeletal healthcare needs. The company's system provides patients with interactive physical rehabilitation exercises from the comfort of their own homes, supervised by remote physiotherapists to provide patients with physical therapy at reduced costs, enabling patients to get access to a rich source of data for clinical teams and decision-makers stroke patients to use this therapy independently.","digital therapist, interactive physical rehabilitation, medical rehabilitation, motion tracking sensors, motor rehabilitation system, outpatient rehabilitation, physical therapy, rehabilitation therapy",324.8475116,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Venture Capital,www.swordhealth.com,788,,,,2014,,"The company raised $189 million of Series D venture funding in a deal led by Sapphire Ventures on November 22, 2021, putting the company's pre-money valuation at $1.81 billion. Transformation Capital and 11 other investors also participated in the round. The funds will be used to accelerate the company's mission to free billions of people from physical pain through more personalized MSK-based offerings and expanding local and global operations among self-insured employers, health plans, and other entities.","New York, NY",53-55 West 21st Street,6th Floor,New York,New York,10010,United States,+1 (385) 308-8034,,hello@swordhealth.com,Americas,North America,4,98229-07P,Virgílio Bento Ph.D,"Co-Founder, Chief Executive Officer & Chairman",28,1,,,,,,Accelerator/Incubator,,,Other,,Completed,2000,11/22/2021,Later Stage VC,11/22/2021,189,Actual,2000,Actual,Later Stage VC,Series D,,Venture Capital,,,,Completed,https://www.facebook.com/SWORDHealth1,https://twitter.com/swordhealth,https://www.linkedin.com/company/swordhealth,0.02,91,0,14.51,-0.8,9,0.13,89,0.13,89,16.09,94,0,0,8.67,89,6.76,81,6.76,81,1784,-1,-0.06,PitchBook Research,https://my.pitchbook.com?c=111779-92,01/01/2024,['Musculoskeletal disorders'],"The company offers a digital therapeutic system for physical rehabilitation, specifically targeting musculoskeletal healthcare needs."
32769,113162-77,LifeWave Biomedical,,LifeWave,"Lifewave Biomedical, Inc.","Developer of a digital therapeutic platform designed to offer health monitoring products. The company's platform improves the management of patients diagnosed with congestive heart failure, acute respiratory distress syndrome, and chronic obstructive pulmonary disease in hospital, ambulatory, and home settings, enabling patients to manage their own health and healthcare providers to remotely assess the state of health of their patients.","clinical management system, connected health system, health monitoring, lung sensor device, noninvasive physiologic sensors, respiratory care system, respiratory distress syndrome",3.69,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Venture Capital,www.lifewavebiomed.com,12,,,,2000,,"The company raised an undisclosed amount of venture funding from Kyto Technology And Life Science, DigitalDx Ventures and Sand Hill Angels on June 1, 2021.","Los Altos, CA",171 Main Street,Suite 583,Los Altos,California,94022,United States,+1 (650) 461-4500,,info@lifewavebiomed.com,Americas,North America,,43061-68P,Steve Stephansen,Chief Executive Officer,6,,07/31/2002,0.75,Estimated,5,Actual,Early Stage VC,Series A,,Venture Capital,,Completed,15.64,06/01/2015,Later Stage VC,06/01/2021,,,,,Later Stage VC,,,Venture Capital,,,,Completed,,,https://www.linkedin.com/company/life-wave-inc,0,15,0,0,0,13,,,,,0.67,41,-0.08,-11.11,0.67,41,,,,,,,,PitchBook Research,https://my.pitchbook.com?c=113162-77,01/01/2024,"['Chronic respiratory diseases', 'Cardiovascular diseases']","The company provides a platform for managing conditions like congestive heart failure and chronic obstructive pulmonary disease, which fall under cardiovascular and chronic respiratory diseases, respectively."
33427,113595-40,SpellBound (Healthcare Technology Systems),Magicbook,SpellBound,"ALTality, Inc.","Developer of an augmented reality therapeutic platform designed to help children cope and engage with medical treatment using immersive augmented reality technology. The company's platform contains content that can be used for procedural support to manage acute pain and provides three-dimensional simulations of procedures for improved patient education by digitally transforming the hospital environment, enabling hospital therapists to help kids cope with the hospital experience and reduce trauma for children and costs for hospitals.","augmented reality therapy, digital therapeutics firm, patient-care, pediatric healthcare, therapeutic platform service, therapeutic tools",1.462151,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Venture Capital,www.spellboundar.com,10,,,1760744,2015,,The company joined National Institutes of Health as a part of its I-Corps at NIH Winter 2023 Cohort in March 2023 and received an undisclosed amount in funding in the form of grant.,"Ann Arbor, MI",116 East Washington Street,Suite 225,Ann Arbor,Michigan,48104,United States,+1 (734) 930-2492,,hello@spellboundar.com,Americas,North America,,125167-06P,Christina York,"Co-Founder, Chief Executive Officer & Board Member",13,,12/29/2015,,,,,Accelerator/Incubator,,,Other,,Completed,4,05/22/2020,Seed Round,03/01/2023,,,,,Accelerator/Incubator,,,Other,,,,Completed,https://www.facebook.com/SpellBoundAR,https://twitter.com/spellboundAR,https://www.linkedin.com/company/spellboundar,0.01,91,0,0,0,13,0.02,73,0.02,73,1.02,53,0,0,1.25,56,2.13,63,2.13,63,562,1,0.18,PitchBook Research,https://my.pitchbook.com?c=113595-40,01/01/2024,['Other non-communicable diseases'],"The company uses augmented reality to help children cope with medical treatments, which is a supportive therapeutic tool rather than targeting a specific disease category."
